2023-10-03 11:22:44.640 [info] Log level: Info
2023-10-03 11:22:44.640 [info] Validating found git in: "git"
2023-10-03 11:22:44.640 [info] Using git "2.34.1" from "git"
2023-10-03 11:22:44.640 [info] > git rev-parse --show-toplevel [17ms]
2023-10-03 11:22:44.640 [info] > git rev-parse --show-toplevel [6ms]
2023-10-03 11:23:54.830 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 11:24:34.081 [info] > git rev-parse --show-toplevel [9ms]
2023-10-03 11:25:47.732 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 11:26:47.070 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 11:26:48.790 [info] > git rev-parse --show-toplevel [14ms]
2023-10-03 11:32:39.465 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 11:35:24.488 [info] > git rev-parse --show-toplevel [5ms]
2023-10-03 11:36:06.120 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 11:38:08.156 [info] > git rev-parse --show-toplevel [12ms]
2023-10-03 11:38:14.033 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 11:38:27.593 [info] > git rev-parse --show-toplevel [15ms]
2023-10-03 11:38:29.427 [info] > git rev-parse --show-toplevel [1ms]
2023-10-03 11:39:36.505 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 11:39:59.000 [info] > git rev-parse --show-toplevel [6ms]
2023-10-03 11:49:29.251 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 11:49:32.111 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 11:50:19.053 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 11:57:47.163 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 11:58:20.675 [info] > git rev-parse --show-toplevel [2ms]
