2023-10-03 11:22:44.640 [info] Log level: Info
2023-10-03 11:22:44.640 [info] Validating found git in: "git"
2023-10-03 11:22:44.640 [info] Using git "2.34.1" from "git"
2023-10-03 11:22:44.640 [info] > git rev-parse --show-toplevel [17ms]
2023-10-03 11:22:44.640 [info] > git rev-parse --show-toplevel [6ms]
2023-10-03 11:23:54.830 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 11:24:34.081 [info] > git rev-parse --show-toplevel [9ms]
2023-10-03 11:25:47.732 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 11:26:47.070 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 11:26:48.790 [info] > git rev-parse --show-toplevel [14ms]
2023-10-03 11:32:39.465 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 11:35:24.488 [info] > git rev-parse --show-toplevel [5ms]
2023-10-03 11:36:06.120 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 11:38:08.156 [info] > git rev-parse --show-toplevel [12ms]
2023-10-03 11:38:14.033 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 11:38:27.593 [info] > git rev-parse --show-toplevel [15ms]
2023-10-03 11:38:29.427 [info] > git rev-parse --show-toplevel [1ms]
2023-10-03 11:39:36.505 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 11:39:59.000 [info] > git rev-parse --show-toplevel [6ms]
2023-10-03 11:49:29.251 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 11:49:32.111 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 11:50:19.053 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 11:57:47.163 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 11:58:20.675 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 12:09:49.993 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 12:21:03.095 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 12:22:42.588 [info] > git rev-parse --show-toplevel [6ms]
2023-10-03 12:22:46.329 [info] > git rev-parse --show-toplevel [5ms]
2023-10-03 12:23:16.917 [info] > git rev-parse --show-toplevel [1ms]
2023-10-03 12:32:50.421 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 13:17:02.764 [info] > git rev-parse --show-toplevel [8ms]
2023-10-03 13:17:24.872 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 13:17:38.744 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:18:22.911 [info] > git rev-parse --show-toplevel [6ms]
2023-10-03 13:18:27.548 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 13:18:44.431 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:29:35.495 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:29:58.626 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:30:42.106 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 13:30:44.691 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:30:50.274 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:30:54.203 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:31:30.611 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:31:48.584 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 13:31:50.450 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 13:31:51.924 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:31:54.049 [info] > git rev-parse --show-toplevel [16ms]
2023-10-03 13:32:01.661 [info] > git rev-parse --show-toplevel [6ms]
2023-10-03 13:32:22.503 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 13:38:53.345 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 13:39:15.487 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:39:21.587 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:39:23.347 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:39:27.404 [info] > git rev-parse --show-toplevel [1ms]
2023-10-03 13:39:30.646 [info] > git rev-parse --show-toplevel [4ms]
2023-10-03 13:39:42.062 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:39:54.509 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 13:39:59.703 [info] > git rev-parse --show-toplevel [1ms]
2023-10-03 13:40:01.592 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 13:40:05.525 [info] > git rev-parse --show-toplevel [6ms]
2023-10-03 13:40:38.092 [info] > git rev-parse --show-toplevel [7ms]
2023-10-03 13:40:40.589 [info] > git rev-parse --show-toplevel [4ms]
